Compound_name,CAS_number,Canonical_SMILES,n_original_records,ODT_min_mg_L,ODT_max_mg_L,log10_ODT_SD,ODT_geometric_mean_mg_L,Final_pT,Structure_type,Chemical_class
"(E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one",23726-91-2,CC=CC(=O)C1=C(CCCC1(C)C)C,3,2e-6,9e-5,0.954482689855853,0.0003,6.52287874528034,Cyclic,Ketone
"1-(2,2-Dimethyl-6-methylenecyclohexyl)-2-buten-1-one",35087-49-1,CC=CC(=O)C1C(=C)CCCC1(C)C,1,0.0092,0.0092,NA,0.0092,5.03621217265444,Cyclic,Ketone
"(S)-(-)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one",116497-11-1,CC=CC(=O)C1C(=CCCC1(C)C)C,1,0.0015,0.0015,NA,0.0015,5.82390874094432,Cyclic,Ketone
"2,4-Hexadienal",142-83-6,CC=CC=CC=O,1,0.268,0.268,NA,0.268,3.57186520597121,Aliphatic,Aldehyde
(E)-2-Butenal,123-73-9,CC=CC=O,1,0.3126,0.3126,NA,0.3126,3.50501102631683,Aliphatic,Aldehyde
1-Methoxy-4-((E)-1-propenyl)benzene,4180-23-8,CC=CC1=CC=C(C=C1)OC,2,0.015,0.086,0.536274868496704,0.036,4.44369749923271,Cyclic,BenzeneDerivatives
"Methyl deca-4,8-dienoate",1191-03-3,CC=CCCC=CCCC(=O)OC,1,0.03,0.03,NA,0.03,4.52287874528034,Aliphatic,Ester
2-Butenyl isothiocyanate,2253-93-2,CC=CCN=C=S,1,0.38,0.38,NA,0.38,3.42021640338319,Aliphatic,Others
2-(2-Butenylthio)ethanal,,CC=CCSCC=O,1,4e-5,4e-5,NA,4e-5,7.39794000867204,Aliphatic,Aldehyde
Ethanal,75-07-0,CC=O,1,51.5,51.5,NA,51.5,1.28819277095881,Aliphatic,Aldehyde
"α-Ethenyl-α,3,3-trimethyloxiranpropanol",15249-35-1,CC1(C(O1)CCC(C)(C=C)O)C,1,1.148,1.148,NA,1.148,2.94005811193804,Cyclic,Ketone
"6,6-Dimethyl-2-methylenebicyclo[3.1.1]heptane",127-91-3,CC1(C2CCC(=C)C1C2)C,5,0.14,4.16,0.703121747648109,0.44,3.35654732351381,Cyclic,Polycyclic
"8,8-Dimethyl-2-methylene-6-oxabicyclo[3.2.1]octane",19901-96-3,CC1(C2CCC(=C)C1CO2)C,1,0.003,0.003,NA,0.003,5.52287874528034,Cyclic,Polycyclic
"Hexahydro-1,1-dimethyl-4-methylene-1H-cyclopenta[c]furan",19901-95-2,CC1(C2CCC(=C)C2CO1)C,1,0.003,0.003,NA,0.003,5.52287874528034,Cyclic,Polycyclic
"1,3,3-Trimethylbicyclo[2.2.1]-2-heptanone",1195-79-5,CC1(C2CCC(C2)(C1=O)C)C,5,0.44,1.2,0.229643535654627,0.674,3.17134010346468,Cyclic,Polycyclic
"1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane",470-82-6,CC1(C2CCC(O1)(CC2)C)C,1,0.012,0.012,NA,0.012,4.92081875395237,Cyclic,Polycyclic
"1,7,7-Trimethylbicyclo[2.2.1]-2-heptanone",76-22-2,CC1(C2CCC1(C(=O)C2)C)C,4,0.25,4.6,0.617605069495526,1.45,2.83863199776503,Cyclic,Polycyclic
"exo-1,7,7-Trimethylbicyclo[2.2,1]-2-heptanol",124-76-5,CC1(C2CCC1(C(C2)O)C)C,4,0.0025,0.015,0.467052504851989,0.004,5.39794000867204,Cyclic,Polycyclic
"trans-5-Ethenyltetrahydro-α,α,5-trimethyl-2-furanmethanol",34995-77-2,CC1(CCC(O1)C(C)(C)O)C=C,7,0.06,0.32,0.116910586557917,0.187,3.7281583934635,Cyclic,Furan
"(3aR)-3a,6,6,9a-Tetramethyl-3aα,5aβ,9aα,9bβ-dodecahydronaphtho[2,1-b]furan",6790-58-5,CC1(CCCC2(C1CCC3(C2CCO3)C)C)C,1,0.0006,0.0006,NA,0.0006,6.22184874961636,Cyclic,Polycyclic
"1-tert-Butyl-3,5-dimethyl-2,4,6-trinitrobenzene",81-15-2,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],1,0.0023,0.0023,NA,0.0023,5.63827216398241,Cyclic,BenzeneDerivatives
"4-tert-Butyl-2,6-dimethyl-3,5-dinitroacetophenone",81-14-1,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,2,0.0082,0.01,0.0609428094238187,0.0091,5.04095860767891,Cyclic,BenzeneDerivatives
"2,3,6-Trimethylanisole",,CC1=C(C(=C(C=C1)C)OC)C,1,0.009,0.009,NA,0.009,5.04575749056067,Cyclic,BenzeneDerivatives
2-Isopropyl-6-methylphenol,3228-04-4,CC1=C(C(=CC=C1)C(C)C)O,1,1,1,NA,1,3,Cyclic,BenzeneDerivatives
2-Chloro-6-methylanisole,,CC1=C(C(=CC=C1)Cl)OC,1,0.003,0.003,NA,0.003,5.52287874528034,Cyclic,BenzeneDerivatives
"2,3-Dimethylphenol",526-75-0,CC1=C(C(=CC=C1)O)C,1,0.5,0.5,NA,0.5,3.30102999566398,Cyclic,BenzeneDerivatives
"2,3-Dihydro-3,5-dihydroxy-6-methyl-4H-pyran-4-one",28564-83-2,CC1=C(C(=O)C(CO1)O)O,1,35,35,NA,35,1.45593195564972,Cyclic,Others
3-Hydroxy-2-methyl-4-pyrone,118-71-8,CC1=C(C(=O)C=CO1)O,6,0.21,35,0.824538871384524,6.03,2.21968268785985,Cyclic,Others
2-Hydroxy-3-methyl-2-cyclopenten-1-one,80-71-7,CC1=C(C(=O)CC1)O,2,0.3,2,0.582591457800598,0.77,3.11350927482752,Cyclic,Ketone
4-Hydroxy-5-methyl-3(2H)-furanone,19332-27-1,CC1=C(C(=O)CO1)O,6,8.52,23,0.222716290103973,16.52,1.78198995701564,Cyclic,Furan
3-Hydroxy-4-methyl-2(5H)-furanone,22438-62-6,CC1=C(C(=O)OC1)O,1,40,40,NA,40,1.39794000867204,Cyclic,Furan
"4-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-3-buten-2-one",14901-07-6,CC1=C(C(CCC1)(C)C)C=CC(=O)C,1,0.0009,0.0009,NA,0.0009,6.04575749056067,Cyclic,Ketone
"2,6,6-Trimethyl-1-cyclohexene-1-carboxaldehyde",432-25-7,CC1=C(C(CCC1)(C)C)C=O,1,0.0178,0.0178,NA,0.0178,4.74957999769111,Cyclic,Others
"4-(2,6,6-Trimethyl-1,3-cyclohexadien-1-yl)-3-buten-2-one",17283-81-7,CC1=C(C(CCC1)(C)C)CCC(=O)C,1,0.001,0.001,NA,0.001,6,Cyclic,Ketone
"1-tert-Butyl-2-methoxy-4-methyl-3,5-dinitrobenzene",83-66-9,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],1,0.00342,0.00342,NA,0.00342,5.46597389394386,Cyclic,BenzeneDerivatives
5-Isopropyl-2-methylphenol,499-75-2,CC1=C(C=C(C=C1)C(C)C)O,6,0.07,2.29,0.618388971331043,1.28,2.89279003035213,Cyclic,BenzeneDerivatives
5-Chloro-2-methylaniline,95-79-4,CC1=C(C=C(C=C1)Cl)N,1,0.005,0.005,NA,0.005,5.30102999566398,Cyclic,BenzeneDerivatives
4-Methyl-3-nitrophenol,2042-14-0,CC1=C(C=C(C=C1)O)[N+](=O)[O-],1,2,2,NA,2,2.69897000433602,Cyclic,BenzeneDerivatives
"3,4-Dimethylphenol",95-65-8,CC1=C(C=C(C=C1)O)C,1,1.2,1.2,NA,1.2,2.92081875395238,Cyclic,BenzeneDerivatives
4-tert-Butyl-2-methylphenol,98-27-1,CC1=C(C=CC(=C1)C(C)(C)C)O,1,0.4,0.4,NA,0.4,3.39794000867204,Cyclic,BenzeneDerivatives
3-Methyl-4-nitrophenol,2581-34-2,CC1=C(C=CC(=C1)O)[N+](=O)[O-],1,5,5,NA,5,2.30102999566398,Cyclic,BenzeneDerivatives
3-Methyl-4-(methylthio)phenol,3120-74-9,CC1=C(C=CC(=C1)O)SC,1,0.2,0.2,NA,0.2,3.69897000433602,Cyclic,BenzeneDerivatives
"2-Methyl-1,3-dinitrobenzene",606-20-2,CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],1,0.525,0.525,NA,0.525,3.27984069659404,Cyclic,BenzeneDerivatives
2-Methyl-3-(methylthio)furan,63012-97-5,CC1=C(C=CO1)SC,1,0.0092,0.0092,NA,0.0092,5.03621217265444,Cyclic,Furan
2-Methyl-3-(methyldithio)furan,65505-17-1,CC1=C(C=CO1)SSC,3,4e-6,1e-5,0.229750771128123,7e-6,8.15490195998574,Cyclic,Furan
2-Methyl-3-thiophenethiol,2527-76-6,CC1=C(C=CS1)S,1,2e-5,2e-5,NA,2e-5,7.69897000433602,Cyclic,Others
2-(3-Methyl-2-butenyl)-3-methylfuran,15186-51-3,CC1=C(OC=C1)CC=C(C)C,2,0.08,0.2,0.281386078637431,0.13,3.88605664769316,Cyclic,Furan
"2-Isobutyl-4,5-dimethylthiazole",53498-32-1,CC1=C(SC(=N1)CC(C)C)C,1,0.01,0.01,NA,0.01,5,Cyclic,Thiazole
4-Isopropyl-7-methylcyclohexathiazole,84648-08-8,CC1=C2C(=C(C=C1)C(C)C)N=CS2,1,0.00036,0.00036,NA,0.00036,6.44369749923271,Cyclic,Polycyclic
"2-Methyl-3-oxa-8-thiabicyclo[3.3.0]-1,4-octadiene",26693-24-3,CC1=C2C(=CO1)CCS2,1,0.00275,0.00275,NA,0.00275,5.56066730616974,Cyclic,Polycyclic
"2,6-Di-tert-butyl-4-methylphenol",128-37-0,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,1,1,1,NA,1,3,Cyclic,BenzeneDerivatives
"2,4,6-Trimethylphenol",527-60-6,CC1=CC(=C(C(=C1)C)O)C,1,0.5,0.5,NA,0.5,3.30102999566398,Cyclic,BenzeneDerivatives
"2,4,6-Trimethylanisole",4028-66-4,CC1=CC(=C(C(=C1)C)OC)C,1,0.0008,0.0008,NA,0.0008,6.09691001300806,Cyclic,BenzeneDerivatives
"2,3,5-Trimethylphenol",697-82-5,CC1=CC(=C(C(=C1)O)C)C,1,2.3,2.3,NA,2.3,2.63827216398241,Cyclic,BenzeneDerivatives
2-tert-Butyl-5-methylphenol,88-60-8,CC1=CC(=C(C=C1)C(C)(C)C)O,1,0.5,0.5,NA,0.5,3.30102999566398,Cyclic,BenzeneDerivatives
2-Isopropyl-5-methylphenol,89-83-8,CC1=CC(=C(C=C1)C(C)C)O,7,0.188,1.7,0.341608173658828,0.43,3.36653154442041,Cyclic,BenzeneDerivatives
"1,2,4-Trimethylbenzene",95-63-6,CC1=CC(=C(C=C1)C)C,2,0.26,0.5,0.200815961550139,0.36,3.44369749923271,Cyclic,BenzeneDerivatives
"2,5-Dimethylphenol",95-87-4,CC1=CC(=C(C=C1)C)O,1,0.4,0.4,NA,0.4,3.39794000867204,Cyclic,BenzeneDerivatives
4-Methyl-2-nitrophenol,119-33-5,CC1=CC(=C(C=C1)O)[N+](=O)[O-],1,0.8,0.8,NA,0.8,3.09691001300806,Cyclic,BenzeneDerivatives
"2,4-Dimethylphenol",105-67-9,CC1=CC(=C(C=C1)O)C,1,0.4,0.4,NA,0.4,3.39794000867204,Cyclic,BenzeneDerivatives
2-Methoxy-4-methylphenol,93-51-6,CC1=CC(=C(C=C1)O)OC,7,0.01,0.09,0.393942800748679,0.03,4.52287874528034,Cyclic,BenzeneDerivatives
"2,4,5-Trimethylphenol",496-78-6,CC1=CC(=C(C=C1C)O)C,1,2.3,2.3,NA,2.3,2.63827216398241,Cyclic,BenzeneDerivatives
4-Chloro-2-isopropyl-5-methylphenol,89-68-9,CC1=CC(=C(C=C1Cl)C(C)C)O,1,0.6,0.6,NA,0.6,3.22184874961636,Cyclic,BenzeneDerivatives
"2,5-Dimethyl-3-(methyldithio)furan",61197-06-6,CC1=CC(=C(O1)C)SSC,1,1e-5,1e-5,NA,1e-5,8,Cyclic,Furan
"1,3,5-Trimethylbenzene",108-67-8,CC1=CC(=CC(=C1)C)C,1,0.2466,0.2466,NA,0.2466,3.60800692774029,Cyclic,BenzeneDerivatives
"3,5-Dimethylphenol",108-68-9,CC1=CC(=CC(=C1)O)C,1,5,5,NA,5,2.30102999566398,Cyclic,BenzeneDerivatives
"2-Methyl-4,6-dinitrophenol",534-52-1,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],2,0.93,1.3,0.10285603788781,1.1,2.95860731484177,Cyclic,BenzeneDerivatives
"2,6-Dimethyl-4-nitrophenol",2423-71-4,CC1=CC(=CC(=C1O)C)[N+](=O)[O-],1,2.5,2.5,NA,2.5,2.60205999132796,Cyclic,BenzeneDerivatives
"1,3-Dimethylbenzene",108-38-3,CC1=CC(=CC=C1)C,2,1,1.1,0.0292690483669007,1.05,2.97881070093006,Cyclic,BenzeneDerivatives
3-Methylphenol,108-39-4,CC1=CC(=CC=C1)O,4,0.015,0.8,0.799383446661402,0.21,3.67778070526608,Cyclic,BenzeneDerivatives
"2,4-Dimethyl a-Carboline",13315-71-4,CC1=CC(=NC2=C1C3=CC=CC=C3N2)C,1,0.5786,0.5786,NA,0.5786,3.23762157068804,Cyclic,Polycyclic
4-Isopropyl-1-methyl-1-cyclohexen-3-one,89-81-6,CC1=CC(=O)C(CC1)C(C)C,1,0.68,0.68,NA,0.68,3.16749108729376,Cyclic,BenzeneDerivatives
1-Isopropyl-4-methylbicyclo[3.1.0]-3-hexen-2-one,24545-81-1,CC1=CC(=O)C2(C1C2)C(C)C,1,0.75,0.75,NA,0.75,3.1249387366083,Cyclic,Polycyclic
p-Xylene,106-42-3,CC1=CC=C(C=C1)C,1,0.5329,0.5329,NA,0.5329,3.27335427975909,Cyclic,BenzeneDerivatives
1-Acetyl-4-methylbenzene,122-00-9,CC1=CC=C(C=C1)C(=O)C,8,0.019,0.16,0.310359174026632,8,2.09691001300806,Cyclic,BenzeneDerivatives
p-Cymene,99-87-6,CC1=CC=C(C=C1)C(C)C,1,0.3,0.3,NA,0.3,3.52287874528034,Cyclic,BenzeneDerivatives
1-Chloro-4-methylbenzene,106-43-4,CC1=CC=C(C=C1)Cl,1,0.01,0.01,NA,0.01,5,Cyclic,BenzeneDerivatives
4-Methylanisole,104-93-8,CC1=CC=C(C=C1)OC,1,0.025,0.025,NA,0.025,4.60205999132796,Cyclic,BenzeneDerivatives
4-Methylphenyl acetate,140-39-6,CC1=CC=C(C=C1)OC(=O)C,1,0.025,0.025,NA,0.025,4.60205999132796,Cyclic,BenzeneDerivatives
5-Methylfurfural,620-02-0,CC1=CC=C(O1)C=O,1,1.11,1.11,NA,1.11,2.95467702121334,Cyclic,Furan
2-(5-Methyl)furylmethanethiol,59303-05-8,CC1=CC=C(O1)CS,1,5e-5,5e-5,NA,5e-5,7.30102999566398,Cyclic,Furan
Toluene,108-88-3,CC1=CC=CC=C1,8,0.024,20,0.892686595620804,1.54,2.81247927916354,Cyclic,BenzeneDerivatives
o-Xylene,95-47-6,CC1=CC=CC=C1C,5,0.4502,1.8,0.274969929006799,0.7,3.15490195998574,Cyclic,BenzeneDerivatives
o-Cresol,95-48-7,CC1=CC=CC=C1O,3,0.26,1.4,0.366054515562707,0.62,3.20760831050175,Cyclic,BenzeneDerivatives
2-Methylanisole,578-58-5,CC1=CC=CC=C1OC,1,0.3,0.3,NA,0.3,3.52287874528034,Cyclic,BenzeneDerivatives
1-Methylnaphthalene,90-12-0,CC1=CC=CC2=CC=CC=C12,3,0.00775,0.2,0.237711440887567,0.0106,4.97469413473523,Cyclic,Polycyclic
2-Methylfuran,534-22-5,CC1=CC=CO1,5,0.2,4,0.569609407570466,2.08,2.68193666503724,Cyclic,Furan
"1,2-Dihydro-1,1,6-trimethylnaphthalene",30364-38-6,CC1=CC2=C(C=C1)C(CC=C2)(C)C,1,0.0025,0.0025,NA,0.0025,5.60205999132796,Cyclic,Polycyclic
"1,2,3,4-Tetrahydro-1,1,6-trimethylnaphthalene",475-03-6,CC1=CC2=C(C=C1)C(CCC2)(C)C,1,0.002,0.002,NA,0.002,5.69897000433602,Cyclic,Polycyclic
"2,6-Dimethylnaphthalene",581-42-0,CC1=CC2=C(C=C1)C=C(C=C2)C,1,0.01,0.01,NA,0.01,5,Cyclic,Polycyclic
2-Methylnaphthalene,91-57-6,CC1=CC2=CC=CC=C2C=C1,2,0.003,0.01,0.36973110652604,0.0055,5.25963731050576,Cyclic,Polycyclic
"2,6-Dimethylanthracene",613-26-3,CC1=CC2=CC3=C(C=C(C=C3)C)C=C2C=C1,1,0.5,0.5,NA,0.5,3.30102999566398,Cyclic,Polycyclic
"3,7,7-Trimethylbicyclo[4.1.0]-2-heptene",4497-92-1,CC1=CC2C(C2(C)C)CC1,1,4,4,NA,4,2.39794000867204,Cyclic,Polycyclic
4-Isopropylidene-1-methyl-3-cyclohexene,586-62-9,CC1=CCC(=C(C)C)CC1,11,0.041,0.2,0.321479335494804,0.13,3.88605664769316,Cyclic,Others
"4-Isopropyl-1-methyl-1,4-cyclohexadiene",99-85-4,CC1=CCC(=CC1)C(C)C,6,0.0065,1,0.858003836318843,0.32,3.49485002168009,Cyclic,Others
1-Isopropyl-4-methyl-3-cyclohexen-1-ol,562-74-3,CC1=CCC(CC1)(C(C)C)O,6,0.34,6.4,0.581040044810241,2,2.69897000433602,Cyclic,Alcohol
4-Isopropenyl-1-methyl-1-cyclohexene,138-86-3,CC1=CCC(CC1)C(=C)C,9,0.01,1,0.731335004857839,0.14,3.85387196432176,Cyclic,Others
4-(2-Hydroxyisopropyl)-1-methyl-1-cyclohexene,98-55-5,CC1=CCC(CC1)C(C)(C)O,11,0.28,15,0.72900516842447,3.38,2.47108329972235,Cyclic,Alcohol
5-Isopropenyl-2-methyl-2-cyclohexen-1-one,99-49-0,CC1=CCC(CC1=O)C(=C)C,6,0.0067,0.82,0.824680912918329,0.097,4.01322826573375,Cyclic,Ketone
"(1R,5S)-2-Methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",18383-51-2,CC1=CCC(CC1O)C(=C)C,1,0.25,0.25,NA,0.25,3.60205999132796,Cyclic,Alcohol
"2,3,4,5,8,8a-Hexahydro-3-isopropyl-6,8a-dimethyl-3a(1H)-azulenol",465-28-1,CC1=CCC2(CCC(C2(CC1)O)C(C)C)C,1,0.008,0.008,NA,0.008,5.09691001300806,Cyclic,Polycyclic
"3,7,7-Trimethylbicyclo[4.1.0]-3-heptene",13466-78-9,CC1=CCC2C(C1)C2(C)C,3,0.77,2.03,0.243067530641124,1.06,2.97469413473523,Cyclic,Polycyclic
"2,6,6-Trimethylbicyclo[3.1.1]-2-heptene",80-56-8,CC1=CCC2CC1C2(C)C,1,0.95,0.95,NA,0.95,3.02227639471115,Cyclic,Polycyclic
"4,11,11-Trimethyl-8-methylenebicyclo[7.2.0]-4-undecene",87-44-5,CC1=CCCC(=C)C2CC(C2CC1)(C)C,6,0.0064,0.0077,0.0327867268786125,0.0075,5.1249387366083,Cyclic,Polycyclic
"2,6,6-Trimethyl-2-cyclohexen-1-one",20013-73-4,CC1=CCCC(C1=O)(C)C,2,0.15,0.42,0.31618847622411,0.251,3.60032627851896,Cyclic,Ketone
"4-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-3-buten-2-one",127-41-3,CC1=CCCC(C1C=CC(=O)C)(C)C,1,0.01,0.01,NA,0.01,5,Cyclic,Ketone
"1,5,9,9-Tetramethyl-[1R-(1R*,4E,7E,11R*)]-12-oxabicyclo[9.1.0]dodeca-4,7-diene",19888-33-6,CC1=CCCC2(C(O2)CC(C=CC1)(C)C)C,1,0.01,0.01,NA,0.01,5,Cyclic,Polycyclic
Trimethylpyrazine,14667-55-1,CC1=CN=C(C(=N1)C)C,6,0.023,9,0.976139425331041,0.2,3.69897000433602,Cyclic,Pyrazine
"2-Methoxy-3,5-dimethylpyrazine",92508-08-2,CC1=CN=C(C(=N1)C)OC,1,4e-7,4e-7,NA,4e-7,9.39794000867204,Cyclic,Pyrazine
"2-Methoxy-3,6-dimethylpyrazine",19846-22-1,CC1=CN=C(C(=N1)OC)C,1,0.0001,0.0001,NA,0.0001,7,Cyclic,Pyrazine
2-Isopropyl-3-methoxy-5-methylpyrazine,56343-37-4,CC1=CN=C(C(=N1)OC)C(C)C,1,4.5e-5,4.5e-5,NA,4.5e-5,7.34678748622466,Cyclic,Pyrazine
"2,5-Dimethyl-3-(methylthio)pyrazine",59021-08-8,CC1=CN=C(C(=N1)SC)C,1,0.0013,0.0013,NA,0.0013,5.88605664769316,Cyclic,Pyrazine
"2,5-Dimethylpyrazine",123-32-0,CC1=CN=C(C=N1)C,5,1.7,35,0.581944146283164,3.19,2.49620931694282,Cyclic,Pyrazine
2-Methoxy-5-methylpyrazine,2882-22-6,CC1=CN=C(C=N1)OC,5,0.015,0.2,0.0684317643465625,0.017,4.76955107862173,Cyclic,Pyrazine
2-Methyl-5-(methylthio)pyrazine,2884-14-2,CC1=CN=C(C=N1)SC,8,0.004,0.06,0.415811052286248,0.0056,5.2518119729938,Cyclic,Pyrazine
"2,6-Dimethyl pyrazine",108-50-9,CC1=CN=CC(=N1)C,6,0.4,54,1.03180743287638,6.39,2.1944991418416,Cyclic,Pyrazine
2-Methoxy-6-methylpyrazine,2882-21-5,CC1=CN=CC(=N1)OC,1,0.017,0.017,NA,0.017,4.76955107862173,Cyclic,Pyrazine
2-Methyl-6-(methylthio)pyrazine,2884-13-1,CC1=CN=CC(=N1)SC,1,0.02,0.02,NA,0.02,4.69897000433602,Cyclic,Pyrazine
3-Methylindole,83-34-1,CC1=CNC2=CC=CC=C12,1,0.06,0.06,NA,0.06,4.22184874961636,Cyclic,Polycyclic
"2,4-Dimethylthiazole",541-58-2,CC1=CSC(=N1)C,1,0.018,0.018,NA,0.018,4.74472749489669,Cyclic,Thiazole
5-Isobutyl-2-methoxy-3-methylpyrazine,78246-20-5,CC1=NC(=CN=C1OC)CC(C)C,1,0.00018,0.00018,NA,0.00018,6.74472749489669,Cyclic,Pyrazine
5-Isopropyl-3-methyl-2-(methylthio)pyrazine,99784-22-2,CC1=NC(=CN=C1SC)C(C)C,1,0.016,0.016,NA,0.016,4.79588001734407,Cyclic,Pyrazine
5-Isobutyl-3-methyl-2-(methylthio)pyrazine,78246-17-0,CC1=NC(=CN=C1SC)CC(C)C,1,0.015,0.015,NA,0.015,4.82390874094432,Cyclic,Pyrazine
"2,3-Dimethyl-5-isopropylpyrazine",40790-21-4,CC1=NC=C(N=C1C)C(C)C,1,0.53,0.53,NA,0.53,3.27572413039921,Cyclic,Pyrazine
"5-Isobutyl-2,3-dimethylpyrazine",54410-83-2,CC1=NC=C(N=C1C)CC(C)C,2,0.77,4.1,0.513566798446276,1.78,2.74957999769111,Cyclic,Pyrazine
"5,7-Dihydro-2-methylthieno-(3,4D)-pyrimidine",36267-71-7,CC1=NC=C2CSCC2=N1,1,0.0009,0.0009,NA,0.0009,6.04575749056067,Cyclic,Polycyclic
2-Methylpyrazine,109-08-0,CC1=NC=CN=C1,1,60,60,NA,60,1.22184874961636,Cyclic,Pyrazine
"2,3-Dimethylpyrazine",5910-89-4,CC1=NC=CN=C1C,9,0.4,2.5,0.294362066359899,1.8,2.74472749489669,Cyclic,Pyrazine
2-Acetyl-3-methylpyrazine,23787-80-6,CC1=NC=CN=C1C(=O)C,1,0.02,0.02,NA,0.02,4.69897000433602,Cyclic,Pyrazine
2-Isopropyl-3-methylpyrazine,15986-81-9,CC1=NC=CN=C1C(C)C,1,0.016,0.016,NA,0.016,4.79588001734407,Cyclic,Pyrazine
2-Isobutyl-3-methylpyrazine,13925-06-9,CC1=NC=CN=C1CC(C)C,2,0.035,0.13,0.402962694686856,0.067,4.17392519729917,Cyclic,Pyrazine
2-Methoxy-3-methylpyrazine,2847-30-5,CC1=NC=CN=C1OC,7,0.003,0.007,0.153115055186975,0.0049,5.30980391997149,Cyclic,Pyrazine
2-Methyl-3-(methylthio)pyrazine,2882-20-4,CC1=NC=CN=C1SC,6,0.001,0.004,0.32976183822169,0.002,5.69897000433602,Cyclic,Pyrazine
2-Methylbenzothiazole,120-75-2,CC1=NC2=CC=CC=C2S1,1,0.00775,0.00775,NA,0.00775,5.11069829749369,Cyclic,Polycyclic
"4,16-Androstadien-3-one",4075-07-4,CC12CCC3C(C1CC=C2)CCC4=CC(=O)CCC34C,1,0.00098,0.00098,NA,0.00098,6.0087739243075,Cyclic,Polycyclic
5α-Androst-16-en-3-one,18339-16-7,CC12CCC3C(C1CC=C2)CCC4C3(CCC(=O)C4)C,3,0.00018,0.002,0.591002323318357,0.00042,6.3767507096021,Cyclic,Polycyclic
5α-Androst-16-en-3α-ol,1153-51-1,CC12CCC3C(C1CC=C2)CCC4C3(CCC(C4)O)C,1,0.0062,0.0062,NA,0.0062,5.20760831050175,Cyclic,Polycyclic
5α-Androstan-3-one,1224-95-9,CC12CCCC1C3CCC4CC(=O)CCC4(C3CC2)C,1,0.00062,0.00062,NA,0.00062,6.20760831050175,Cyclic,Polycyclic
"3-Hydroxy-4,5-dimethyl-2(5H)-furanone",28664-35-9,CC1C(=C(C(=O)O1)O)C,1,1.315,1.315,NA,1.315,2.88107424717422,Cyclic,Furan
"4-Methoxy-2,5-dimethyl-3(2H)-furanone",4077-47-8,CC1C(=O)C(=C(O1)C)OC,1,0.19,0.19,NA,0.19,3.72124639904717,Cyclic,Furan
"2,5-Dimethyl-4-(3-methylbutoxy)-3(2H)-furanone",,CC1C(=O)C(=C(O1)C)OCCC(C)C,1,0.9,0.9,NA,0.9,3.04575749056068,Cyclic,Furan
1-Isopropyl-4-methylbicyclo[3.1.0]-3-hexanone,546-80-5,CC1C2CC2(CC1=O)C(C)C,1,0.36,0.36,NA,0.36,3.44369749923271,Cyclic,Polycyclic
"8-Isopropyl-5,6-dimethylbicyclo[4.4.0]-3-decanone",38427-80-4,CC1CC(=O)CC2C1(CC(CC2)C(C)C)C,1,0.045,0.045,NA,0.045,4.34678748622466,Cyclic,Polycyclic
"7-Acetyl-1,1,3,4,4,6-hexamethyl-1,2,3,4-tetrahydronaphthalene",1506-02-1,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,1,0.0015,0.0015,NA,0.0015,5.82390874094432,Cyclic,Polycyclic
(R)-(+)-4-Isopropylidene-1-methyl-3-cyclohexanone,89-82-7,CC1CCC(=C(C)C)C(=O)C1,1,0.13,0.13,NA,0.13,3.88605664769316,Cyclic,Ketone
4-Methylcyclohexanone,589-92-4,CC1CCC(=O)CC1,1,0.69,0.69,NA,0.69,3.16115090926274,Cyclic,Ketone
2-Isopropyl-5-methylcyclohexanone,10458-14-7,CC1CCC(C(=O)C1)C(C)C,1,1.04,1.04,NA,1.04,2.98296666070122,Cyclic,Ketone
2-Isopropenyl-5-methyl-1-cyclohexanol,89-79-2,CC1CCC(C(C1)O)C(=C)C,1,1,1,NA,1,3,Cyclic,Alcohol
3-Methylcyclohexanone,591-24-2,CC1CCCC(=O)C1,1,0.68,0.68,NA,0.68,3.16749108729376,Cyclic,Ketone
"2,2,6-Trimethylcyclohexanone",2408-37-9,CC1CCCC(C1=O)(C)C,3,0.1,0.31,0.283687806204688,0.15,3.82390874094432,Cyclic,Ketone
2-Methylcyclohexanone,583-60-8,CC1CCCCC1=O,1,1.41,1.41,NA,1.41,2.85078088734462,Cyclic,Ketone
(l)-4-Methyl-2-(2-methyl-1-propenyl)tetrahydropyran,3033-23-6,CC1CCOC(C1)C=C(C)C,1,0.0005,0.0005,NA,0.0005,6.30102999566398,Cyclic,Others
