Compound_name,CAS_number,Canonical_SMILES,n_original_records,ODT_min_mg_L,ODT_max_mg_L,log10_ODT_SD,ODT_geometric_mean_mg_L,Final_pT,Structure_type,Chemical_class
"2,4-Dichlorophenol",120-83-2,C1=CC(=C(C=C1Cl)Cl)O,7,0.029,0.056,0.112043833741595,0.033,4.48148606012211,Cyclic,BenzeneDerivatives
"2,4-Dichlorophenoxyacetic acid",94-75-7,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,1,3.13,3.13,NA,3.13,2.50445566245355,Cyclic,BenzeneDerivatives
"2,5-Dichlorophenol",583-78-8,C1=CC(=C(C=C1Cl)O)Cl,4,0.01,0.03,0.238560627359831,0.013,4.88605664769316,Cyclic,BenzeneDerivatives
"3,4-Dichloroaniline",95-76-1,C1=CC(=C(C=C1N)Cl)Cl,1,0.003,0.003,NA,0.003,5.52287874528034,Cyclic,BenzeneDerivatives
3-Bromophenol,591-20-8,C1=CC(=CC(=C1)Br)O,1,0.05,0.05,NA,0.05,4.30102999566398,Cyclic,BenzeneDerivatives
3-Chlorophenol,108-43-0,C1=CC(=CC(=C1)Cl)O,1,0.05,0.05,NA,0.05,4.30102999566398,Cyclic,BenzeneDerivatives
3-Fluorophenol,372-20-3,C1=CC(=CC(=C1)F)O,1,2,2,NA,2,2.69897000433602,Cyclic,BenzeneDerivatives
3-Nitrophenol,554-84-7,C1=CC(=CC(=C1)O)[N+](=O)[O-],1,0.6,0.6,NA,0.6,3.22184874961636,Cyclic,BenzeneDerivatives
"1,3-Dihydroxybenzene",108-46-3,C1=CC(=CC(=C1)O)O,2,6,40,0.582591457800598,15.5,1.80966830182971,Cyclic,BenzeneDerivatives
4-Nitrophenol,100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,1,2.5,2.5,NA,2.5,2.60205999132796,Cyclic,BenzeneDerivatives
"2,4,4'-Trihydroxybenzophenone",1470-79-7,C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,1,6,6,NA,6,2.22184874961636,Cyclic,Polycyclic
4-Hydroxybenzoic acid,99-96-7,C1=CC(=CC=C1C(=O)O)O,1,5,5,NA,5,2.30102999566398,Cyclic,BenzeneDerivatives
"1,4-Dichlorobenzene",106-46-7,C1=CC(=CC=C1Cl)Cl,5,0.003,0.018,0.340298396410747,0.005,5.30102999566398,Cyclic,BenzeneDerivatives
4-Chlorophenol,106-48-9,C1=CC(=CC=C1O)Cl,3,0.033,0.097,0.234591631460403,0.058,4.23657200643706,Cyclic,BenzeneDerivatives
4-Fluorophenol,371-41-5,C1=CC(=CC=C1O)F,1,2.3,2.3,NA,2.3,2.63827216398241,Cyclic,BenzeneDerivatives
"1,4-Dihydroxybenzene",123-31-9,C1=CC(=CC=C1O)O,1,5,5,NA,5,2.30102999566398,Cyclic,BenzeneDerivatives
"3,4,5,6,7,8,8a-Heptachlorodicyclopentadiene",76-44-8,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,1,0.02,0.02,NA,0.02,4.69897000433602,Cyclic,Polycyclic
1-Chloro-2-nitrobenzene,88-73-3,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,1,0.02,0.02,NA,0.02,4.69897000433602,Cyclic,BenzeneDerivatives
2-Nitrophenol,88-75-5,C1=CC=C(C(=C1)[N+](=O)[O-])O,1,1.7,1.7,NA,1.7,2.76955107862173,Cyclic,BenzeneDerivatives
2-Chlorophenol,95-57-8,C1=CC=C(C(=C1)O)Cl,1,0.002,0.002,NA,0.002,5.69897000433602,Cyclic,BenzeneDerivatives
2-Fluorophenol,367-12-4,C1=CC=C(C(=C1)O)F,1,1.5,1.5,NA,1.5,2.82390874094432,Cyclic,BenzeneDerivatives
2-Iodophenol,533-58-4,C1=CC=C(C(=C1)O)I,2,0.001,0.001,NA,0.001,6,Cyclic,BenzeneDerivatives
"1,2-Dihydroxybenzene",120-80-9,C1=CC=C(C(=C1)O)O,1,8,8,NA,8,2.09691001300806,Cyclic,BenzeneDerivatives
(E)-3-Phenyl-2-propenoic acid,,C1=CC=C(C=C1)/C=C/C(=O)O,2,2,5,0.281386078637431,3.16,2.5003129173816,Cyclic,BenzeneDerivatives
Nitrobenzene,98-95-3,C1=CC=C(C=C1)[N+](=O)[O-],1,0.2,0.2,NA,0.2,3.69897000433602,Cyclic,BenzeneDerivatives
N-Benzoylglycine,495-69-2,C1=CC=C(C=C1)C(=O)NCC(=O)O,1,2.5,2.5,NA,2.5,2.60205999132796,Cyclic,BenzeneDerivatives
3-Phenyl-2-propenal,104-55-2,C1=CC=C(C=C1)C=CC=O,1,0.008,0.008,NA,0.008,5.09691001300806,Cyclic,BenzeneDerivatives
3-Phenyl-2-propen-1-ol,104-54-1,C1=CC=C(C=C1)C=CCO,1,0.077,0.077,NA,0.077,4.11350927482752,Cyclic,BenzeneDerivatives
Benzaldehyde,100-52-7,C1=CC=C(C=C1)C=O,22,0.3,3.5,0.411389892753606,0.65,3.18708664335714,Cyclic,BenzeneDerivatives
4-Phenylphenol,92-69-3,C1=CC=C(C=C1)C2=CC=C(C=C2)O,1,0.7,0.7,NA,0.7,3.15490195998574,Cyclic,Polycyclic
2-Phenylphenol,90-43-7,C1=CC=C(C=C1)C2=CC=CC=C2O,1,0.4,0.4,NA,0.4,3.39794000867204,Cyclic,Polycyclic
Phenylacetic acid,103-82-2,C1=CC=C(C=C1)CC(=O)O,2,1,6.1,0.555312051804226,2.47,2.60730304674033,Cyclic,BenzeneDerivatives
2-Phenylethanal,122-78-1,C1=CC=C(C=C1)CC=O,1,0.04,0.04,NA,0.04,4.39794000867204,Cyclic,BenzeneDerivatives
2-Phenylethyl cyanide,645-59-0,C1=CC=C(C=C1)CCC#N,1,0.015,0.015,NA,0.015,4.82390874094432,Cyclic,BenzeneDerivatives
3-Phenylpropanoic acid,501-52-0,C1=CC=C(C=C1)CCC(=O)O,1,5,5,NA,5,2.30102999566398,Cyclic,BenzeneDerivatives
2-Phenylethyl isothiocyanate,2257-09-2,C1=CC=C(C=C1)CCN=C=S,1,0.006,0.006,NA,0.006,5.22184874961636,Cyclic,Others
2-Phenylethanol,60-12-8,C1=CC=C(C=C1)CCO,9,0.14,1.5,0.316947182321129,0.78,3.10790539730952,Cyclic,BenzeneDerivatives
Benzyl isothiocyanate,622-78-6,C1=CC=C(C=C1)CN=C=S,4,0.004,0.035,0.457140764462122,0.007,5.15490195998574,Cyclic,BenzeneDerivatives
Benzyl alcohol,100-51-6,C1=CC=C(C=C1)CO,6,10,100,0.341011118184863,15.94,1.79751168293991,Cyclic,BenzeneDerivatives
Aniline,62-53-3,C1=CC=C(C=C1)N,1,70.1,70.1,NA,70.1,1.15428198203334,Cyclic,BenzeneDerivatives
