Compound_name,CAS_number,Canonical_SMILES,Chemical_class,Predicted_pT,Predicted_ODT_mg_L
(Z)-4-Dodecenal,21944-98-9,CCCCCCCC=CCCC=O,Aldehydes,6.73623418807983,0.000183554831892252
Ethyl 5-Norbornene-2-carboxylate,10138-32-6,CCOC(=O)C1CC2CC1C=C2,Esters,6.73074436187744,0.000185889832209796
Ethyl propyl trisulfide,31499-70-4,CCCSSSCC,Sulfur compounds,6.72623872756958,0.000187828409252688
5-(Methylthio)pentyl isothiocyanate,4430-42-6,CSCCCCCN=C=S,Sulfur compounds,6.69925594329834,0.000199868358322419
6-(Methylthio)hexyl isothiocyanate,4430-39-1,CSCCCCCCN=C=S,Sulfur compounds,6.69073581695557,0.000203828152734786
2-Mercapto-4-heptanol,1006684-20-3,CCCC(CC(C)S)O,Sulfur compounds,6.68792295455933,0.000205152609851211
Dipropyl trisulfide,6028-61-1,CCCSSSCCC,Sulfur compounds,6.65843439102173,0.000219566267332993
3-Decen-2-one,10519-33-2,CCCCCCC=CC(=O)C,Ketones,6.63219499588013,0.00023324106587097
4-(Methylthio)butanal,42919-64-2,CSCCCC=O,Sulfur compounds,6.61372804641724,0.00024337274953723
(E)-5-Dodecenal,68820-34-8,CCCCCCC=CCCCC=O,Aldehydes,6.58200407028198,0.000261815846897662
4-(Methylthio)butyl isothiocyanate,4430-36-8,CSCCCCN=C=S,Sulfur compounds,6.56150770187378,0.000274468358838931
4-Mercapto-2-pentanone,92585-08-5,CC(CC(=O)C)S,Sulfur compounds,6.54046630859375,0.000288093666313216
